titulo,item_id,score,preco,preco_confiavel,desconto,tipo_promocao,link_original,link_afiliado,imagem,categoria
Mini Projetor Davely Hy300 4k Android Com Wi-fi E Bluetooth Branco 127/220v,MLB48955624,82,173.9,sim,41,oferta_do_dia,https://www.mercadolivre.com.br/mini-projetor-davely-hy300-4k-android-com-wi-fi-e-bluetooth/p/MLB48955624?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=1&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4275712681&sid=offers,https://meli.la/2PLFSUV,https://http2.mlstatic.com/D_Q_NP_2X_902043-MLA96988011016_112025-AB.webp,ofertas
Tenis Mizuno Jet 8 Masculino,MLB110345645894,82,240.94,sim,39,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-3872723957-tenis-mizuno-jet-8-masculino-_JM?searchVariation=197777724573#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=2&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa,https://meli.la/1GmZJ8f,https://http2.mlstatic.com/D_Q_NP_2X_923785-MLB107391725800_032026-AB-tenis-mizuno-jet-8-masculino.webp,ofertas
"Sofá Veneza 2,40m Retrátil Reclinável Grafite Usb Porta Copo Grafite",MLB779362,72,1444.0,sim,36,oferta_do_dia,https://www.mercadolivre.com.br/sofa-veneza-240m-retratil-reclinavel-grafite-usb-porta-copo/up/MLBU3504234773?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=5&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB5834923568&sid=offers,https://meli.la/2XnA2wB,https://http2.mlstatic.com/D_Q_NP_2X_952142-MLB95484341326_102025-AB.webp,ofertas
Café Em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,MLB19542141,82,62.0,sim,37,oferta_do_dia,https://www.mercadolivre.com.br/cafe-em-grao-torrado-expresso-arabica-torra-escura-gros-1kg-gourmet-cafe-italle/p/MLB19542141?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=7&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4579770708&sid=offers,https://meli.la/2Rnf7q2,https://http2.mlstatic.com/D_Q_NP_2X_620439-MLA99452591834_112025-AB.webp,ofertas
Balança Bioimpedancia Digital 180kg Smart Imc Profissional Rishon Com Aplicativo Preto,MLB68838381,75,28.87,sim,63,oferta_relampago,https://www.mercadolivre.com.br/balanca-bioimpedancia-digital-180kg-smart-imc-profissional-rishon-com-aplicativo/p/MLB68838381?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=18&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4625924357&sid=offers,https://meli.la/2Cezq9d,https://http2.mlstatic.com/D_Q_NP_2X_957981-MLA110124413534_042026-AB.webp,ofertas
Bola Volei 8.0 Pró Penalty Quadra Selo Fivb Amarelo Amarelo/roxo,MLB24438946,79,284.99,sim,26,oferta_relampago,https://www.mercadolivre.com.br/bola-volei-80-pro-penalty-quadra-selo-fivb-amarelo/p/MLB24438946?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=19&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4107909959&sid=offers,https://meli.la/1LanpxL,https://http2.mlstatic.com/D_Q_NP_2X_892159-MLA99961034565_112025-AB.webp,ofertas
Testo Essencial - Fórmula Exclusiva Com Feno Grego + Boro + Arginina + Zma + Vitamina B6 - Precursor Da Testosterona - 60 Cápsulas Sem Sabor,MLB58582424,82,57.77,sim,37,oferta_relampago,https://www.mercadolivre.com.br/testo-essencial-formula-exclusiva-com-feno-grego-boro-arginina-zma-vitamina-b6-precursor-da-testosterona-60-capsulas/p/MLB58582424?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=24&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB5761677016&sid=offers,https://meli.la/15QHb9d,https://http2.mlstatic.com/D_Q_NP_2X_991094-MLA97048061291_112025-AB.webp,ofertas
Pistola De Pintura E Pulverizadora Elétrica Portátil Hvlp 1.250l C/5 Bicos E Acessórios 600w Tpp150 The Black Tools Amarelo 220v,MLB55898949,82,192.9,sim,35,oferta_do_dia,https://www.mercadolivre.com.br/pistola-de-pintura-e-pulverizadora-eletrica-portatil-hvlp-1250l-c5-bicos-e-acessorios-600w-tpp150-the-black-tools/p/MLB55898949?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=39&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB5701841518&sid=offers,https://meli.la/1ZxmJ2K,https://http2.mlstatic.com/D_Q_NP_2X_888248-MLA109322110405_032026-AB.webp,ofertas
Mini Compressor Ar Calibrador Encher Pneu Portátil Digital,MLB100882551263,79,109.03,sim,26,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-4060206829-mini-compressor-ar-calibrador-encher-pneu-portatil-digital-_JM?searchVariation=189152471921#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=43&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa,https://meli.la/2NqU35y,https://http2.mlstatic.com/D_Q_NP_2X_847949-MLB94330460424_102025-AB-mini-compressor-ar-calibrador-encher-pneu-portatil-digital.webp,ofertas
Tênis Vizzano Feminino Off White Leve Academia 1440.107,MLB86033825762,79,158.27,sim,28,oferta_relampago,https://produto.mercadolivre.com.br/MLB-5444808350-tnis-vizzano-feminino-off-white-leve-academia-1440107-_JM?searchVariation=187905102190#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=47&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa,https://meli.la/2RFCF9W,https://http2.mlstatic.com/D_Q_NP_2X_958980-MLB86033825762_062025-AB-tnis-vizzano-feminino-off-white-leve-academia-1440107.webp,ofertas
Balança Digital De Precisão 10kg Davely Cook Cozinha Para Uso Domestico E Profissional Fitness Ideal Para Dietas Treinos Alimentos Confeitaria Nutrição Branco 10 Kg,MLB65131882,72,19.3,sim,44,oferta_do_dia,https://www.mercadolivre.com.br/balanca-digital-de-preciso-10kg-davely-cook-cozinha-para-uso-domestico-e-profissional-fitness-ideal-para-dietas-treinos-alimentos-confeitaria-nutrico-branco/p/MLB65131882?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=a301d43d-f853-4d3b-8489-c5387390cd49&position=48&tracking_id=3a75e362-8be6-4c50-8f21-a47583d138aa&wid=MLB4083251613&sid=offers,https://meli.la/1qJrdqA,https://http2.mlstatic.com/D_Q_NP_2X_977172-MLA107049793514_022026-AB.webp,ofertas
Lanterna Mais Forte Do Mundo Recarregável Tática Potente Led Apfer,MLB65530475,82,45.82,sim,42,oferta_relampago,https://www.mercadolivre.com.br/lanterna-mais-forte-do-mundo-recarregavel-tatica-potente-led-apfer/p/MLB65530475?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd&wid=MLB6191335498&sid=offers,https://meli.la/2wdTc6M,https://http2.mlstatic.com/D_Q_NP_2X_717789-MLA106467937608_022026-AB.webp,ofertas
Nac 600mg - Fórmula Exclusiva Com Máxima Concentração E Pureza - N-acetil L-cisteína - 60 Cápsulas Sem Sabor,MLB58579835,82,46.77,sim,47,oferta_relampago,https://www.mercadolivre.com.br/nac-600mg-formula-exclusiva-com-maxima-concentraco-e-pureza-n-acetil-l-cisteina-60-capsulas/p/MLB58579835?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd&wid=MLB5761715520&sid=offers,https://meli.la/2D7VMce,https://http2.mlstatic.com/D_Q_NP_2X_628799-MLA105714524195_012026-AB.webp,ofertas
"Tapete 2,00x1,50 Peludo Felpudo Para Sala E Quarto Cores Cor Bege-mesclado Desenho Do Tecido Pelo Alto Casa Laura... 2 M 1.5 M",MLB39156440,82,59.9,sim,48,oferta_do_dia,https://www.mercadolivre.com.br/tapete-200x150-peludo-felpudo-para-sala-e-quarto-cores-cor-bege-mesclado-desenho-do-tecido-pelo-alto-casa-laura-enxovais-tapete-medio-para-sala-2x15m-antiderrapante-e-lavavel-bege-mesclado/p/MLB39156440?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd&wid=MLB3871378375&sid=offers,https://meli.la/249LrMY,https://http2.mlstatic.com/D_Q_NP_2X_755662-MLA99498152944_112025-AB.webp,ofertas
Vestido Quadrilha Xadrez Feminino Ombro A Ombro Festa Junina,MLB113308850529,85,138.9,sim,51,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-4040988893-vestido-quadrilha-xadrez-feminino-ombro-a-ombro-festa-junina-_JM?searchVariation=187708001719#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd,https://meli.la/2qfVY84,https://http2.mlstatic.com/D_Q_NP_2X_766281-MLB113308850529_062026-AB-vestido-quadrilha-xadrez-feminino-ombro-a-ombro-festa-junina.webp,ofertas
Penta Magnésio - Bisglicinato + Dimalato + Citrato + Taurato + Óxido De Magnésio - A Combinação Perfeita De 5 Magnésios Com Máxima Pureza E Biodisponibilidade - 60 Cápsulas Sem Sabor,MLB61669343,82,56.77,sim,40,oferta_relampago,https://www.mercadolivre.com.br/penta-magnesio-bisglicinato-dimalato-citrato-taurato-oxido-de-magnesio-a-combinaco-perfeita-de-5-magnesios-com-maxima-pureza-e-biodisponibilidade-60-capsulas/p/MLB61669343?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd&wid=MLB4291609113&sid=offers,https://meli.la/21aAGxJ,https://http2.mlstatic.com/D_Q_NP_2X_945958-MLA100297313496_122025-AB.webp,ofertas
Cinta Modeladora Redutora Feminina Mb 33 Barbatanas,MLB107833879506,82,165.89,sim,46,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-4359901716-cinta-modeladora-redutora-feminina-mb-33-barbatanas-_JM?searchVariation=179659192478#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd,https://meli.la/2fKKZPY,https://http2.mlstatic.com/D_Q_NP_2X_859014-MLB107833879506_032026-AB-cinta-modeladora-redutora-feminina-mb-33-barbatanas.webp,ofertas
Desobstruidora De Alta Pressão Wap Wl 4200 Ultra 5 Pistões 2200w 1305psi 510l/h Com Jato Regulável E Motor De Indução 220v Cinza 60 Hz,MLB62043239,75,639.2,sim,64,oferta_relampago,https://www.mercadolivre.com.br/desobstruidora-de-alta-presso-wap-wl-4200-ultra-5-pistoes-2200w-1305psi-510lh-com-jato-regulavel-e-motor-de-induco-220v/p/MLB62043239?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd&wid=MLB4398552785&sid=offers,https://meli.la/1z1uHKY,https://http2.mlstatic.com/D_Q_NP_2X_621336-MLA109109973389_032026-AB.webp,ofertas
Camisa Gola Polo Feminina Básica Algodão Social Uniforme,MLB112706258071,72,29.9,sim,40,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-3597479075-camisa-gola-polo-feminina-basica-algodo-social-uniforme-_JM?searchVariation=179829782100#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd,https://meli.la/25LbgmE,https://http2.mlstatic.com/D_Q_NP_2X_965881-MLB112707298569_062026-AB-camisa-gola-polo-feminina-basica-algodo-social-uniforme.webp,ofertas
Kit 4-calças Jeans Ideal Trabalho Pesado Reforçada Elastano,MLB96292389413,78,180.14,sim,20,oferta_relampago,https://produto.mercadolivre.com.br/MLB-4273592191-kit-4-calcas-jeans-ideal-trabalho-pesado-reforcada-elastano-_JM?searchVariation=186558325088#polycard_client=offers&deal_print_id=3dbe7d76-132f-4097-882f-1ad1ca484dc5&tracking_id=df47f50b-b3db-4514-9320-49e0b95c7ccd,https://meli.la/1LSNxQ6,https://http2.mlstatic.com/D_Q_NP_2X_604924-MLB96292389413_102025-AB-kit-4-calcas-jeans-ideal-trabalho-pesado-reforcada-elastano.webp,ofertas
Cadeira Escritorio Presidente Esteirinha Verita Rija Preto Couro Sintético,MLB54034711,82,486.28,sim,42,oferta_do_dia,https://www.mercadolivre.com.br/cadeira-escritorio-presidente-esteirinha-verita-rija-preto-couro-sintetico/p/MLB54034711?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=c7dc2676-52cc-47f8-95ac-b4f30c5bc511&tracking_id=9ff90509-abb1-48be-96a4-a7ea8321c315&wid=MLB4220901633&sid=offers,https://meli.la/22wRoxv,https://http2.mlstatic.com/D_Q_NP_2X_911162-MLA96153219369_102025-AB.webp,ofertas
Garrafa Térmica 1 Litro Com Termômetro Led Para Chás / Café,MLB77908142830,79,51.2,sim,32,oferta_relampago,https://produto.mercadolivre.com.br/MLB-4967167410-garrafa-termica-1-litro-com-termmetro-led-para-chas-cafe-_JM?searchVariation=184022220277#polycard_client=offers&deal_print_id=c7dc2676-52cc-47f8-95ac-b4f30c5bc511&tracking_id=9ff90509-abb1-48be-96a4-a7ea8321c315,https://meli.la/2dJqhim,https://http2.mlstatic.com/D_Q_NP_2X_658148-MLB89993492671_082025-AB-garrafa-termica-1-litro-com-termmetro-led-para-chas-cafe.webp,ofertas
Camisa Gola Polo Masculina Pique Premium Algodão Confortável,MLB111509654802,82,34.8,sim,36,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-5187281878-camisa-gola-polo-masculina-pique-premium-algodo-confortavel-_JM?searchVariation=186130844585#polycard_client=offers&deal_print_id=c7dc2676-52cc-47f8-95ac-b4f30c5bc511&tracking_id=9ff90509-abb1-48be-96a4-a7ea8321c315,https://meli.la/2VsGJb1,https://http2.mlstatic.com/D_Q_NP_2X_689886-MLB112349827775_052026-AB-camisa-gola-polo-masculina-pique-premium-algodo-confortavel.webp,ofertas
Calça Skinny Preta Rasgada Masculina Jeans C/ Elastano Lycra,MLB108875633353,82,60.7,sim,44,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-3414938657-calca-skinny-preta-rasgada-masculina-jeans-c-elastano-lycra-_JM?searchVariation=178508291778#polycard_client=offers&deal_print_id=c7dc2676-52cc-47f8-95ac-b4f30c5bc511&tracking_id=9ff90509-abb1-48be-96a4-a7ea8321c315,https://meli.la/2E7Jqzk,https://http2.mlstatic.com/D_Q_NP_2X_795719-MLB108102615694_032026-AB-calca-skinny-preta-rasgada-masculina-jeans-c-elastano-lycra.webp,ofertas
Jogo Toalhas Banho Grossas Macias Algodão 4pç Absorventes,MLB89374143383,79,94.9,sim,32,oferta_relampago,https://produto.mercadolivre.com.br/MLB-4125132275-jogo-toalhas-banho-grossas-macias-algodo-4pc-absorventes-_JM?searchVariation=188994654383#polycard_client=offers&deal_print_id=f5d191b9-e31c-41f1-a66d-9c1dce602e69&tracking_id=00256280-68ba-48a7-9982-03aa66de5a3e,https://meli.la/1dkDwMz,https://http2.mlstatic.com/D_Q_NP_2X_785463-MLB89373964059_082025-AB-jogo-toalhas-banho-grossas-macias-algodo-4pc-absorventes.webp,ofertas
Conversor De Mídia Fibra Óptica Gigabit 1000mbps Rj45 A+b,MLB6664766808,79,73.36,sim,25,oferta_relampago,https://produto.mercadolivre.com.br/MLB-6664766808-conversor-de-midia-fibra-optica-gigabit-1000mbps-rj45-ab-_JM#polycard_client=offers&deal_print_id=f5d191b9-e31c-41f1-a66d-9c1dce602e69&tracking_id=00256280-68ba-48a7-9982-03aa66de5a3e&wid=MLB6664766808&sid=offers,https://meli.la/1UYcwBi,https://http2.mlstatic.com/D_Q_NP_2X_791760-MLB109930050780_042026-AB-conversor-de-midia-fibra-optica-gigabit-1000mbps-rj45-ab.webp,ofertas
Chinelo Havaianas Dual Masculina,MLB71803949208,79,55.77,sim,29,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-4057042938-chinelo-havaianas-dual-masculina-_JM?searchVariation=202278366741#polycard_client=offers&deal_print_id=f5d191b9-e31c-41f1-a66d-9c1dce602e69&tracking_id=00256280-68ba-48a7-9982-03aa66de5a3e,https://meli.la/2BtmpPX,https://http2.mlstatic.com/D_Q_NP_2X_811667-MLB111909248453_052026-AB-chinelo-havaianas-dual-masculina.webp,ofertas
800mlgarrafa Térmica Água Squeeze Inox Academiaquente E Frio,MLB95848039523,82,32.95,sim,44,oferta_relampago,https://produto.mercadolivre.com.br/MLB-5265791338-800mlgarrafa-termica-agua-squeeze-inox-academiaquente-e-frio-_JM?searchVariation=182801268962#polycard_client=offers&deal_print_id=f5d191b9-e31c-41f1-a66d-9c1dce602e69&tracking_id=00256280-68ba-48a7-9982-03aa66de5a3e,https://meli.la/1Mv2M5D,https://http2.mlstatic.com/D_Q_NP_2X_963485-MLB94579785063_102025-AB-800mlgarrafa-termica-agua-squeeze-inox-academiaquente-e-frio.webp,ofertas
Vitamina D3 + K2 Menaquinona-7 - Fórmula Com Máxima Concentração E Biodisponibilidade - 60 Cápsulas Sem Sabor,MLB62162205,82,48.77,sim,45,oferta_relampago,https://www.mercadolivre.com.br/vitamina-d3-k2-menaquinona-7-formula-com-maxima-concentraco-e-biodisponibilidade-60-capsulas/p/MLB62162205?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=8622a82a-2c12-49d6-981d-82690a54e383&tracking_id=8409c076-ffe3-4cb3-93cd-63de5faadbe4&wid=MLB4307126823&sid=offers,https://meli.la/1X53GK3,https://http2.mlstatic.com/D_Q_NP_2X_977019-MLA100790399283_122025-AB.webp,ofertas
Luva X11 Masculina Blackout 2 Touch Verão Motociclista Moto,MLB93930023177,73,85.43,sim,21,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-2605972211-luva-x11-masculina-blackout-2-touch-vero-motociclista-moto-_JM?searchVariation=174382455056#polycard_client=offers&deal_print_id=8622a82a-2c12-49d6-981d-82690a54e383&tracking_id=8409c076-ffe3-4cb3-93cd-63de5faadbe4,https://meli.la/2qni48Z,https://http2.mlstatic.com/D_Q_NP_2X_882170-MLB93930023177_102025-AB-luva-x11-masculina-blackout-2-touch-vero-motociclista-moto.webp,ofertas
Capacete Moto Aberto New Liberty Three Viseira Cristal,MLB89460924740,79,108.7,sim,27,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-2037946467-capacete-moto-aberto-new-liberty-three-viseira-cristal-_JM?searchVariation=173734675623#polycard_client=offers&deal_print_id=8622a82a-2c12-49d6-981d-82690a54e383&tracking_id=8409c076-ffe3-4cb3-93cd-63de5faadbe4,https://meli.la/2acUtza,https://http2.mlstatic.com/D_Q_NP_2X_754291-MLB89460924740_082025-AB-capacete-moto-aberto-new-liberty-three-viseira-cristal.webp,ofertas
Jaqueta Feminina Puffer Frio Impermeável Bobojaco 46 Ao 52,MLB112061288981,79,113.62,sim,33,oferta_relampago,https://produto.mercadolivre.com.br/MLB-5413414098-jaqueta-feminina-puffer-frio-impermeavel-bobojaco-46-ao-52-_JM?searchVariation=200982172287#polycard_client=offers&deal_print_id=8622a82a-2c12-49d6-981d-82690a54e383&tracking_id=8409c076-ffe3-4cb3-93cd-63de5faadbe4,https://meli.la/2Bn5Yi2,https://http2.mlstatic.com/D_Q_NP_2X_742287-MLB112061288981_052026-AB-jaqueta-feminina-puffer-frio-impermeavel-bobojaco-46-ao-52.webp,ofertas
Lavitan Vitamina Para Cabelos E Unhas Com 60 Cápsulas / Kit Com 3 Unidades De 60cps Sem Sabor,MLB29723565,87,34.99,sim,49,oferta_relampago,https://www.mercadolivre.com.br/lavitan-vitamina-para-cabelos-e-unhas-com-60-capsulas-kit-com-3-unidades-de-60cps/p/MLB29723565?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=d785cd26-ab4d-4b62-aaf4-11c162644d07&tracking_id=3614162e-f1eb-444c-87f9-e449f3f0cb88&wid=MLB5475628362&sid=offers,https://meli.la/2kbSfNT,https://http2.mlstatic.com/D_Q_NP_2X_780478-MLA100104346105_122025-AB.webp,ofertas
Desobstruidora De Alta Pressão Profissional Wap Wl 4500 Ultra 2200w 2000psi 500l/h Motor Indução 220v Cinza 60 Hz,MLB62042884,75,1359.2,sim,55,oferta_relampago,https://www.mercadolivre.com.br/desobstruidora-de-alta-presso-profissional-wap-wl-4500-ultra-2200w-2000psi-500lh-motor-induco-220v/p/MLB62042884?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=d785cd26-ab4d-4b62-aaf4-11c162644d07&tracking_id=3614162e-f1eb-444c-87f9-e449f3f0cb88&wid=MLB4398275381&sid=offers,https://meli.la/1kSEQi8,https://http2.mlstatic.com/D_Q_NP_2X_664354-MLA108315302310_032026-AB.webp,ofertas
Kit 5 Cuecas Masculinas Dry Fit Lisas Variadas Microfibra,MLB109195889583,87,53.63,sim,41,oferta_do_dia,https://produto.mercadolivre.com.br/MLB-6226342080-kit-5-cuecas-masculinas-dry-fit-lisas-variadas-microfibra-_JM?searchVariation=190208625014#polycard_client=offers&deal_print_id=d785cd26-ab4d-4b62-aaf4-11c162644d07&tracking_id=3614162e-f1eb-444c-87f9-e449f3f0cb88,https://meli.la/1o87kYp,https://http2.mlstatic.com/D_Q_NP_2X_935161-MLB109195889583_032026-AB-kit-5-cuecas-masculinas-dry-fit-lisas-variadas-microfibra.webp,ofertas
"Baú Ativoauto De Alumínio 65l Para Moto, Preto, Com Encosto E Base Universal",MLB63648098,75,660.0,sim,67,oferta_relampago,https://www.mercadolivre.com.br/bau-ativoauto-de-aluminio-65l-para-moto-preto-com-encosto-e-base-universal/p/MLB63648098?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=d785cd26-ab4d-4b62-aaf4-11c162644d07&tracking_id=3614162e-f1eb-444c-87f9-e449f3f0cb88&wid=MLB4571992893&sid=offers,https://meli.la/1VLNjpi,https://http2.mlstatic.com/D_Q_NP_2X_976573-MLA102988435785_122025-AB.webp,ofertas
Maquina Inversora De Solda Mig Sem Gás 130a 3 Em 1 Tig Lift Com Acessórios Amarelo The Black Tools 220v,MLB63419803,72,505.91,sim,42,oferta_do_dia,https://www.mercadolivre.com.br/maquina-inversora-de-solda-mig-sem-gas-130a-3-em-1-tig-lift-com-acessorios-amarelo-the-black-tools/p/MLB63419803?pdp_filters=deal%3AMLB779362-1#polycard_client=offers&deal_print_id=76db0634-d2bb-4548-8f2e-10a4fba6e096&tracking_id=604ffff4-4fc1-496c-bbd7-ccff94f3bb59&wid=MLB4379720959&sid=offers,https://meli.la/1rBLoez,https://http2.mlstatic.com/D_Q_NP_2X_757497-MLA102161920445_122025-AB.webp,ofertas
